word,pos,primary_definition_en,primary_definition_ko,mw_definition_number,sat_meaning_en,sat_meaning_ko,skills,difficulties,occurrence_count
"sprayed","verb","to scatter or splash liquid in small drops","액체를 작은 방울로 흩뿌리다",2,"to apply a liquid in a fine mist or layer","액체를 미세한 안개나 층으로 적용하다","Transitions","Easy",1
"stand","verb","to be in an upright position","직립한 상태에 있다",2,"to be located or situated","위치하다","Form, Structure, and Sense","Easy",1
"standard","noun","a level of quality or attainment","품질 또는 성취의 수준",3,"a basis of comparison; a reference point","비교의 기초; 기준점","Cross-Text Connections | Transitions","Easy | Hard",3
"standards","noun","a level of quality or attainment","품질 또는 성취의 수준",2,"a principle or criterion by which something is judged or decided","무언가가 판단되거나 결정되는 원칙 또는 기준","Transitions","Easy",1
"steady","adjective","firmly fixed, supported, or balanced; not shaking or moving","확고하게 고정된, 지지된, 또는 균형 잡힌; 흔들리거나 움직이지 않는",3,"not easily changed or fluctuating; consistent","쉽게 변하지 않거나 변동하지 않는; 일관된","Text Structure and Purpose","Medium",1
"stimuli","noun","something that causes a response or reaction","반응이나 반작용을 일으키는 것",2,"external factors that provoke a response","반응을 유도하는 외부 요인","Words in Context","Hard",1
"strange","adjective","unusual or surprising in a way that is unsettling or hard to understand","불안하거나 이해하기 어려운 방식으로 비정상적이거나 놀라운",3,"not familiar; different from what is normal or expected","익숙하지 않거나 정상 또는 예상과 다른","Inferences","Easy",1
"strengthen","verb","to make stronger or more forceful","더 강하게 하다",2,"to enhance or improve the presence or influence of something","무언가의 존재감이나 영향을 향상시키다","Command of Evidence","Hard",1
"strip","noun","a long, narrow piece of something","무언가의 길고 좁은 조각",2,"a comic strip or a series of illustrations in a newspaper","신문에 실린 만화 또는 일련의 삽화","Text Structure and Purpose","Easy",1
"structure","noun","the arrangement of and relations between the parts or elements of something complex","복잡한 것의 부분 또는 요소 간의 배열 및 관계",2,"a particular arrangement or organization of parts","부분의 특정한 배열 또는 조직","Boundaries | Central Ideas and Details","Hard | Medium",2
"stuck","adjective","unable to move or be moved","움직일 수 없거나 움직일 수 없는",2,"unable to progress or change","진행하거나 변화할 수 없는","Cross-Text Connections","Medium",1
"study","noun","a detailed examination and analysis of a subject","주제에 대한 자세한 조사 및 분석",2,"a report or research on a specific topic","특정 주제에 대한 보고서 또는 연구","Form, Structure, and Sense | Boundaries","Easy | Medium",3
"subjected","verb","to bring under control or domination","지배하거나 통제하기 위해 가져오다",2,"to expose to a particular experience or treatment","특정 경험이나 처치에 노출시키다","Command of Evidence","Medium",1
"substantial","adjective","of considerable importance, size, or worth","상당한 중요성, 크기 또는 가치가 있는",2,"having a firm basis in reality; significant","현실에 확고한 기초가 있는; 중요한","Words in Context","Medium",1
"sued","verb","to bring a legal action against","법적 조치를 취하다",2,"to initiate a lawsuit","소송을 시작하다","Transitions","Medium",1
"sugar","noun","a sweet crystalline substance","달콤한 결정체",2,"a carbohydrate produced by plants during photosynthesis","광합성 동안 식물이 생성하는 탄수화물","Boundaries","Medium",1
"suggest","verb","to mention or introduce (an idea, proposition, plan) for consideration","(아이디어, 제안, 계획 등을) 고려하기 위해 언급하다 또는 소개하다",2,"to propose or recommend something as a course of action","어떤 행동 방침으로 제안하거나 추천하다","Form, Structure, and Sense","Medium",1
"suit","verb","to be appropriate or proper","적합하다",2,"to make suitable or fitting","적합하게 만들다","Rhetorical Synthesis","Medium",1
"superficial","adjective","concerned only with what is obvious or apparent","명백하거나 분명한 것에만 관심이 있는",2,"lacking depth or substance","깊이나 실질이 결여된","Central Ideas and Details","Hard",1
"support","verb","to carry or hold up","지탱하다 또는 지지하다",2,"to provide evidence or justification for","증거 또는 정당성을 제공하다","Transitions | Form, Structure, and Sense | Inferences","Easy | Medium",3
"supportive","adjective","providing support or assistance","지원이나 도움을 제공하는",2,"providing encouragement or emotional help","격려나 정서적 도움을 제공하는","Form, Structure, and Sense","Medium",1
"surprisingly","adverb","in a way that causes surprise","놀라운 방식으로",2,"in a manner that is unexpected or unusual","예상치 못한 방식으로","Words in Context","Medium",1
"survive","verb","to remain alive or in existence","살아남다 또는 존재하다",3,"to continue to live or exist, especially in spite of danger or hardship","위험이나 고난에도 불구하고 계속 살아있거나 존재하다","Words in Context | Command of Evidence | Form, Structure, and Sense","Hard | Easy",3
"suspend","verb","to hang (something) so that it is free on one side","한쪽이 자유롭게 매달리도록 (무언가를) 걸다",2,"to temporarily prevent from continuing or being in force or effect","일시적으로 계속되거나 효력을 발휘하는 것을 방지하다","Form, Structure, and Sense","Easy",1
"sustain","verb","to keep in existence; maintain","존재하게 하다; 유지하다",2,"to provide with nourishment; support","영양을 제공하다; 지원하다","Cross-Text Connections","Medium",1
"sweep","verb","to move with a smooth, continuous motion","부드럽고 연속적인 동작으로 움직이다",2,"to move or pass over something in a smooth motion","부드러운 동작으로 무언가를 지나가다","Form, Structure, and Sense","Easy",1
"swing","noun","a rhythmic movement back and forth or side to side","앞뒤 또는 옆으로의 리드미컬한 움직임",2,"a quality of rhythm or feel in music that evokes movement or dance","움직임이나 춤을 유도하는 음악의 리듬 또는 느낌의 특성","Inferences","Medium",1
"symbol","noun","a visible sign of something","무언가의 가시적인 징후",2,"something that represents or stands for something else","다른 것을 나타내거나 대신하는 것","Command of Evidence | Central Ideas and Details","Hard | Medium",2
"symbolizes","verb","to be a symbol of","상징하다",2,"to represent or convey an idea or quality","아이디어나 품질을 나타내거나 전달하다","Rhetorical Synthesis | Form, Structure, and Sense","Medium",2
"tag","verb","to attach a label to","라벨을 붙이다",2,"to identify or categorize (something)","(무언가를) 식별하거나 분류하다","Transitions","Easy",1
"take","verb","to get into one's possession","소유하다",2,"to assume a particular quality or state","특정한 품질이나 상태를 갖다","Transitions","Easy",1
"target","verb","to aim at something","무언가를 겨냥하다",2,"to focus on or direct efforts towards a specific goal or objective","특정 목표나 목적에 노력을 집중하다","Inferences","Medium",1
"tended","verb","to take care of","돌보다",2,"to pay attention to","주의를 기울이다","Text Structure and Purpose","Medium",1
"term","noun","a word or phrase used to describe a thing or to express a concept","사물이나 개념을 설명하는 데 사용되는 단어 또는 구",2,"a fixed or limited period during which something is done or occurs","무언가가 수행되거나 발생하는 고정되거나 제한된 기간","Transitions | Form, Structure, and Sense","Easy | Medium",2
"then","adverb","at that time; at the time in question","그때; 문제의 시간에",2,"next in order; subsequently","순서상 다음; 그 후에","Transitions","Easy",1
"they","pronoun","used to refer to the people or things previously mentioned or easily identified","앞서 언급되었거나 쉽게 식별할 수 있는 사람이나 사물을 지칭하는 데 사용됨",2,"used to refer to a person or people in a general sense","일반적인 의미에서 사람이나 사람들을 지칭하는 데 사용됨","Form, Structure, and Sense","Easy",1
"thing","noun","a material object","물질적 객체",2,"a particular situation or state of affairs","특정한 상황이나 상태","Boundaries","Hard",1
"though","conjunction","used to introduce a statement that contrasts with or seems to contradict something that has been said previously","이전에 말한 것과 대조되거나 모순되는 진술을 소개하는 데 사용됨",2,"despite the fact that","사실에도 불구하고","Transitions","Hard | Medium",2
"threat","noun","a statement of an intention to inflict pain, injury, or damage","고통, 부상 또는 피해를 가하겠다는 의사를 나타내는 진술",2,"something that could cause harm or danger","해를 끼치거나 위험을 초래할 수 있는 것","Text Structure and Purpose","Medium",1
"thrive","verb","to grow or develop successfully","성공적으로 성장하거나 발전하다",2,"to prosper or flourish in a particular environment","특정 환경에서 번영하거나 번창하다","Central Ideas and Details","Hard | Medium",2
"thriving","adjective","prospering; flourishing","번창하는; 번영하는",2,"growing vigorously; developing well","강하게 성장하는; 잘 발전하는","Central Ideas and Details","Medium",1
"torpor","noun","a state of physical or mental inactivity; lethargy","신체적 또는 정신적 비활동 상태; 무기력",2,"a state of decreased physiological activity, typically during hibernation","일반적으로 겨울잠 동안의 생리적 활동 감소 상태","Command of Evidence","Hard",1
"touch","verb","to come in contact with","접촉하다",2,"to perceive or experience through physical contact","물리적 접촉을 통해 인식하거나 경험하다","Inferences","Easy",1
"toxic","adjective","poisonous","독성의",2,"very harmful or unpleasant in a way that can affect health or well-being","건강이나 복지에 영향을 미칠 수 있는 매우 해롭거나 불쾌한","Cross-Text Connections","Easy",1
"traditionally","adverb","in a way that is based on tradition","전통에 따라",2,"in a manner that reflects long-established practices or customs","오랜 관습이나 전통을 반영하는 방식으로","Transitions","Medium",1
"trait","noun","a distinguishing quality or characteristic, typically one belonging to a person","사람에게 일반적으로 속하는 구별되는 특성 또는 특징",2,"a genetically determined characteristic","유전적으로 결정된 특성","Boundaries","Hard",1
"transcribe","verb","to make a written copy of","서면 복사하다",2,"to write down or record (especially in a different format)","(특히 다른 형식으로) 적거나 기록하다","Central Ideas and Details","Medium",1
"transfer","verb","to move from one place to another","한 장소에서 다른 장소로 이동하다",2,"to convey or pass on (something) to another","(무언가를) 다른 사람에게 전달하다","Text Structure and Purpose","Medium",1
"transform","verb","to change in form, appearance, or structure","형태, 외관 또는 구조를 변경하다",2,"to change in a significant or fundamental way","중요하거나 근본적인 방식으로 변경하다","Central Ideas and Details | Form, Structure, and Sense","Hard | Medium",2
"transforming","verb","to change in form, appearance, or structure","형태, 외관 또는 구조를 변경하다",2,"to change or convert into a different state or condition","다른 상태나 조건으로 변경하거나 전환하다","Words in Context","Hard",1
"transmit","verb","to send or convey from one person or place to another","한 사람이나 장소에서 다른 사람이나 장소로 보내거나 전달하다",2,"to communicate or pass on (knowledge, culture, etc.)","(지식, 문화 등을) 전달하다","Command of Evidence","Hard",1
"transport","noun","the act of moving something from one place to another","무언가를 한 장소에서 다른 장소로 옮기는 행위",2,"the process of conveying or carrying materials, especially in a geological context","특히 지질학적 맥락에서 물질을 전달하거나 운반하는 과정","Text Structure and Purpose","Easy",1
"trap","noun","a device for capturing animals","동물을 잡기 위한 장치",2,"a situation or condition that is difficult to escape from","탈출하기 어려운 상황이나 조건","Inferences | Boundaries | Central Ideas and Details","Easy | Hard | Medium",4
"trapped","adjective","caught in a trap","덫에 걸린",3,"confined or restricted in a way that limits freedom","자유를 제한하는 방식으로 제한되거나 구속된","Central Ideas and Details","Hard",1
"triple","verb","to make three times as great or as many","세 배로 만들다",2,"to increase threefold","세 배로 증가하다","Form, Structure, and Sense","Hard",1
"try","verb","to make an attempt or effort to do something","무언가를 하려고 시도하다",2,"to test or experiment with something","무언가를 시험하거나 실험하다","Boundaries","Medium",1
"type","verb","to write using a keyboard or typewriter","키보드나 타자기를 사용하여 쓰다",2,"to be a particular kind or category of something","어떤 것의 특정 종류 또는 범주가 되다","Form, Structure, and Sense","Medium",1
"typical","adjective","having the distinctive qualities of a particular type of person or thing","특정 유형의 사람이나 사물의 독특한 특성을 가진",2,"commonly occurring; usual","일반적으로 발생하는; 보통의","Words in Context","Medium",1
"unanimity","noun","the quality or state of being unanimous","만장일치의 상태",2,"agreement by all people involved","모든 관련자의 동의","Central Ideas and Details","Hard",1
"underestimated","verb","to estimate at too low a value, rate, or the like","너무 낮은 가치, 비율 또는 그와 같은 것으로 추정하다",2,"to judge (something) to be less than it actually is","(무언가를) 실제보다 덜 평가하다","Inferences","Hard",1
"undermine","verb","to weaken or damage something, especially gradually","무언가를 약화시키거나 손상시키다, 특히 점진적으로",2,"to challenge or question the validity of something","무언가의 유효성을 도전하거나 의문을 제기하다","Words in Context","Hard",1
"unearth","verb","to dig or remove from the ground","땅에서 파내다",2,"to discover or bring to light","발견하다 또는 드러내다","Boundaries","Easy",1
"unexceptionable","adjective","not open to objection; flawless","이의 제기할 수 없는; 결점 없는",2,"acceptable; not likely to cause criticism","수용 가능한; 비판을 받을 가능성이 없는","Text Structure and Purpose","Hard",1
"unified","adjective","formed or united into a whole","하나로 형성되거나 통합된",2,"having a consistent or coherent approach","일관되거나 일치하는 접근 방식을 가진","Words in Context","Hard",1
"unifying","verb","to make or become one","하나로 만들다 또는 하나가 되다",2,"to bring together or combine different elements","다양한 요소를 결합하거나 모으다","Command of Evidence","Medium",1
"unique","adjective","being the only one of its kind","유일한",2,"having no equal or equivalent","동등한 것이 없는","Rhetorical Synthesis","Medium",1
"upon","preposition","on or onto","~위에",2,"at the time of; immediately after","~할 때; 바로 후에","Form, Structure, and Sense","Hard",1
"urbanism","noun","a way of life characteristic of city dwellers","도시 거주자의 특징적인 생활 방식",2,"the study or practice of city planning and development","도시 계획 및 개발에 대한 연구 또는 실천","Command of Evidence","Hard",1
"use","verb","to put into action or service","행동이나 서비스에 사용하다",2,"to employ for a particular purpose","특정 목적을 위해 사용하다","Form, Structure, and Sense | Cross-Text Connections | Rhetorical Synthesis | Inferences","Easy | Medium",4
"useful","adjective","having a practical or beneficial use","실용적이거나 유익한 용도가 있는",2,"capable of being put to use; serving a purpose","사용될 수 있는; 목적에 부합하는","Text Structure and Purpose","Easy | Medium",2
"value","noun","the monetary worth of something","무언가의 금전적 가치",2,"the importance, worth, or usefulness of something","무언가의 중요성, 가치 또는 유용성","Boundaries","Easy",1
"variable","adjective","able to be changed or adapted","변경 가능하거나 적응할 수 있는",2,"subject to variation or change","변화나 변동의 영향을 받는","Words in Context","Hard",1
"varied","adjective","marked by diversity or difference","다양성이나 차이가 있는",2,"differing in form, character, or quality","형태, 성격 또는 품질이 다른","Words in Context","Hard",1
"veil","noun","a piece of fine material worn by women to protect or conceal the face","여성이 얼굴을 보호하거나 가리기 위해 착용하는 얇은 소재",2,"something that covers, conceals, or disguises","덮거나 숨기거나 변 disguise하는 것","Text Structure and Purpose","Medium",1
"viable","adjective","capable of living","살 수 있는",2,"capable of working successfully; feasible","성공적으로 작동할 수 있는; 실행 가능한","Command of Evidence","Hard",1
"view","verb","to look at or inspect","보다",2,"to regard in a particular way","특정한 방식으로 간주하다","Inferences","Medium",1
"visible","adjective","capable of being seen","보여질 수 있는",2,"easily noticed or recognized","쉽게 알아차리거나 인식되는","Cross-Text Connections | Transitions","Easy | Hard",2
"visit","noun","an act of going to see someone or something","누군가 또는 무언가를 보러 가는 행위",2,"a social call or engagement","사교적인 방문이나 약속","Central Ideas and Details","Easy",1
"void","noun","a completely empty space","완전히 비어 있는 공간",2,"a state of emptiness or lack","공허함 또는 결여 상태","Central Ideas and Details","Easy",1
"vow","noun","a solemn promise","엄숙한 약속",2,"a determination to do something","무언가를 하겠다는 결심","Form, Structure, and Sense","Easy",1
"wake","noun","the trail of disturbed water left by a boat or other object moving through water","배나 다른 물체가 물을 지나갈 때 남기는 방해된 물의 흔적",2,"the waves or movement created by a moving object, especially in water","특히 물에서 움직이는 물체에 의해 생성된 파도나 움직임","Rhetorical Synthesis","Hard",1
"weaken","verb","to make or become weak","약하게 하다",2,"to diminish in strength or effectiveness","힘이나 효과를 줄이다","Inferences","Medium",1
"weigh","verb","to measure the weight of (something)","(무엇인가의) 무게를 재다",2,"to have a specified weight","특정한 무게를 가지다","Boundaries","Hard",1
"weighed","verb","to measure the weight of","무게를 측정하다",3,"to consider or evaluate","고려하다 또는 평가하다","Text Structure and Purpose","Easy",1
"weight","noun","the amount that something weighs","무게",2,"a force exerted by a mass under the influence of gravity","중력의 영향을 받는 질량에 의해 가해지는 힘","Boundaries","Hard",1
"wild","adjective","living or growing in the natural environment; not domesticated or cultivated","자연 환경에서 자생하는; 길들여지지 않거나 재배되지 않은",2,"intensely enthusiastic or excited","강렬하게 열정적이거나 흥분한","Text Structure and Purpose","Medium",1
"win","verb","to achieve victory in a contest or competition","경쟁이나 대회에서 승리하다",2,"to achieve a desired outcome or success in a broader context","더 넓은 맥락에서 원하는 결과나 성공을 달성하다","Boundaries","Medium",1
"with","preposition","accompanied by","~와 함께",2,"by means of","~의 수단으로","Boundaries","Medium",1
"withstand","verb","to stand up against; resist","저항하다",2,"to endure or survive","견디다 또는 생존하다","Form, Structure, and Sense","Easy",1
"wobble","verb","to move unsteadily from side to side","좌우로 불안정하게 움직이다",2,"to oscillate or fluctuate","진동하거나 변동하다","Central Ideas and Details","Easy",1
"work","noun","the exertion of physical or mental energy","신체적 또는 정신적 에너지의 발휘",2,"a product or result of effort or activity","노력이나 활동의 결과물 또는 성과","Form, Structure, and Sense","Easy",2
"worth","adjective","having a specified value","특정한 가치를 가진",3,"having significance or importance","중요성이나 의미가 있는","Text Structure and Purpose","Medium",1
"yield","verb","to give up possession or control of something","무언가의 소유권이나 통제를 포기하다",2,"to produce or provide (a natural resource)","(자연 자원을) 생산하거나 제공하다","Text Structure and Purpose","Hard",1
